"item_id","pair_id","source_type","level","distractor_source_ids"
"hotpot-v42::5ac559bd5542993e66e82328","5ac559bd5542993e66e82328","bridge","hard","5a7f8b8c5542995d8a8ddea1;5ac2583b55429951e9e68565;5a73ae3b55429978a71e907c"
"hotpot-v42::5ab3bfd3554299233954ff99","5ab3bfd3554299233954ff99","bridge","hard","5ae0bf3a55429906c02dab21;5ab91f98554299753720f70d;5a72ba1a5542992359bc318b"
"hotpot-v42::5a7dedef5542995f4f40231a","5a7dedef5542995f4f40231a","bridge","hard","5ae494575542995dadf2434d;5a75eca555429976ec32bca8;5abf2e605542993fe9a41de4"
"hotpot-v42::5a7b88165542997c3ec971fe","5a7b88165542997c3ec971fe","bridge","hard","5ab26a4b55429970612095fc;5a728b1c5542992359bc30e0;5a733caa5542992359bc32a3"
"hotpot-v42::5ae3c71f5542991a06ce9a22","5ae3c71f5542991a06ce9a22","bridge","hard","5ae5be86554299546bf82f40;5adce2ee5542992c1e3a2461;5a778f515542995d831811cd"
"hotpot-v42::5a801f215542992bc0c4a6b2","5a801f215542992bc0c4a6b2","bridge","hard","5ae61351554299546bf83066;5a7244955542990c210a408a;5a79fbd3554299029c4b5f93"
"hotpot-v42::5ae680cc5542996d980e7ba5","5ae680cc5542996d980e7ba5","bridge","hard","5a8eb63455429917b4a5bdb7;5abe65e25542993f32c2a101;5a75e29f5542992d0ec0600c"
"hotpot-v42::5adcd5005542994d58a2f6f0","5adcd5005542994d58a2f6f0","bridge","hard","5a9064d05542990a9849360f;5ae686535542996d980e7bdc;5a832e715542990548d0b1bf"
"hotpot-v42::5abdb7ff5542993f32c2a011","5abdb7ff5542993f32c2a011","bridge","hard","5ac0f7df554299012d1db667;5ae0f97a5542997b2ef7d0c1;5a7ea14655429930675135ab"
"hotpot-v42::5ab5820e554299488d4d99c3","5ab5820e554299488d4d99c3","bridge","hard","5a8da1815542994ba4e3dcd7;5a849c135542992a431d1a7a;5ac1c9a15542994ab5c67e1c"
"hotpot-v42::5ae07ddb55429945ae95937b","5ae07ddb55429945ae95937b","comparison","hard","5a8f495c5542997ba9cb3220;5adfc97255429906c02daa41;5a7a112a5542990783324e2b"
"hotpot-v42::5adda8d45542995b365fab59","5adda8d45542995b365fab59","bridge","hard","5ab913205542991b5579f0e0;5a8f44135542992414482a24;5ae52c0f5542992663a4f12e"
"hotpot-v42::5ac3e22d5542997ea680c976","5ac3e22d5542997ea680c976","bridge","hard","5a8b3de95542997f31a41cc3;5ae71d2d554299572ea546f7;5ade3af855429939a52fe867"
"hotpot-v42::5a73a7c755429978a71e9068","5a73a7c755429978a71e9068","bridge","hard","5ab9d44255429939ce03dc36;5a7a15d35542996a35c170c4;5a78cc7c55429974737f789f"
"hotpot-v42::5ab90f5755429934fafe6e57","5ab90f5755429934fafe6e57","bridge","hard","5a752fb75542993748c897df;5a8637415542994775f60724;5ae0af5555429945ae95941e"
"hotpot-v42::5a85fa815542996432c57155","5a85fa815542996432c57155","bridge","hard","5ab2a292554299194fa93496;5a7da0915542990b8f5039d4;5ac292175542996366519a14"
"hotpot-v42::5ae7b40e5542994a481bbdbd","5ae7b40e5542994a481bbdbd","bridge","hard","5a808c215542995d8a8ddf90;5ac4d2cd5542995c82c4ad73;5abbc58455429931dba14502"
"hotpot-v42::5a84574455429933447460e6","5a84574455429933447460e6","bridge","hard","5ae77c245542997b22f6a795;5ae49a1855429970de88d9cc;5a81f49c5542995ce29dcc9a"
"hotpot-v42::5adffb4655429925eb1afbbf","5adffb4655429925eb1afbbf","bridge","hard","5a899bf955429946c8d6e959;5adbfc945542996e68525296;5ae835f25542997ec272776f"
"hotpot-v42::5a74639a55429929fddd8404","5a74639a55429929fddd8404","bridge","hard","5adcdea85542992c1e3a2441;5ab65e1e55429954757d3261;5abe689a55429976d4830b16"
"hotpot-v42::5a81fa59554299676cceb1b0","5a81fa59554299676cceb1b0","bridge","hard","5a825a9d55429940e5e1a870;5ab3fc215542992339550027;5a8dd5f955429917b4a5bcc7"
"hotpot-v42::5a8765ad5542996e4f3087cf","5a8765ad5542996e4f3087cf","comparison","hard","5a770d785542993569682cad;5a7a1e635542990783324e69;5a7622d75542994ccc9186f1"
"hotpot-v42::5adcc975554299473435379f","5adcc975554299473435379f","bridge","hard","5ab30f9a554299233954fef2;5abc6fba554299700f9d78c7;5a87106555429960ec39b71f"
"hotpot-v42::5ae490a85542995ad6573d9d","5ae490a85542995ad6573d9d","bridge","hard","5a7b8749554299294a54a9db;5aba94e355429901930fa845;5ac3959855429939154137f0"
"hotpot-v42::5a81a7f75542995ce29dcc25","5a81a7f75542995ce29dcc25","bridge","hard","5a83880e554299123d8c214e;5a7b1e22554299042af8f6e4;5abc5951554299114383a116"
"hotpot-v42::5a758ba75542992db9473677","5a758ba75542992db9473677","comparison","hard","5a8abcab5542996c9b8d5f67;5ac05e035542992a796decf7;5ab41f6b5542991751b4d671"
"hotpot-v42::5aba749855429955dce3ee34","5aba749855429955dce3ee34","bridge","hard","5ae24b165542996483e64962;5ab69c25554299110f219a39;5a7e0c045542995f4f4023c5"
"hotpot-v42::5a7cc59c55429909bec767fb","5a7cc59c55429909bec767fb","bridge","hard","5a7dc7735542990b8f503a93;5abdf1fe55429976d4830a31;5a85db6e5542994c784ddb96"
"hotpot-v42::5adf8fe55542993344016d0f","5adf8fe55542993344016d0f","bridge","hard","5ae18d615542997283cd2229;5ae7f7d85542994a481bbe52;5a7350585542992359bc32f9"
"hotpot-v42::5a8787305542996e4f30882d","5a8787305542996e4f30882d","bridge","hard","5a7b3ec95542995eb53be8d3;5ae74fc45542997b22f6a6b4;5a8e08ab5542995085b37393"
"hotpot-v42::5ac017945542997d642959bc","5ac017945542997d642959bc","bridge","hard","5a825b0e55429954d2e2eb0c;5adce36e5542990d50227d55;5a7c960655429935c91b5244"
"hotpot-v42::5a8cd291554299441c6b9f14","5a8cd291554299441c6b9f14","bridge","hard","5ab5d9af554299494045f07e;5ab4482b55429942dd415f09;5ae3d8415542992f92d8239a"
"hotpot-v42::5a80071f5542992bc0c4a684","5a80071f5542992bc0c4a684","bridge","hard","5a75d8dc5542992db94736f0;5a8e2fe95542995085b373d0;5a77edf955429967ab1052e8"
"hotpot-v42::5a74524455429979e28828f6","5a74524455429979e28828f6","bridge","hard","5addd41b5542990dbb2f7e94;5ade043d5542997dc7907122;5a823b0c55429940e5e1a804"
"hotpot-v42::5a8abb115542992d82986f66","5a8abb115542992d82986f66","comparison","hard","5adc368155429944faac2468;5ae0f8a05542997b2ef7d0bc;5ab6c94c554299710c8d1f5e"
"hotpot-v42::5ae454355542996836b02c77","5ae454355542996836b02c77","bridge","hard","5a8e60ca5542995a26add4d9;5ab6c181554299110f219a5f;5ae20c465542997283cd236a"
"hotpot-v42::5adf0d2d5542993a75d263e1","5adf0d2d5542993a75d263e1","bridge","hard","5ac4db1d554299076e296e1a;5a81df4b55429903bc27b9f8;5abccb235542996583600497"
"hotpot-v42::5a7a3d435542996a35c17154","5a7a3d435542996a35c17154","bridge","hard","5a8f608d5542992414482a94;5a7345ed5542992359bc32ce;5ab626d555429953192ad279"
"hotpot-v42::5ab2bc6b554299545a2cfa40","5ab2bc6b554299545a2cfa40","bridge","hard","5abd0296554299114383a1d1;5a8e27d45542995a26add46a;5adc597d55429947ff17392f"
"hotpot-v42::5ab6bdd255429953192ad36e","5ab6bdd255429953192ad36e","comparison","hard","5ab1e984554299340b525428;5ac44629554299194317395d;5a80799b5542992bc0c4a72e"
"hotpot-v42::5abc0ba05542996583600409","5abc0ba05542996583600409","bridge","hard","5a77d3f555429967ab1052c5;5adf35935542993344016c36;5a7b7ff75542995eb53be93d"
"hotpot-v42::5a8077ca5542992bc0c4a729","5a8077ca5542992bc0c4a729","bridge","hard","5a7b177b55429927d897bf35;5ac3c1805542995ef918c21f;5a8a1b7a5542992d82986ec0"
"hotpot-v42::5a7b192855429927d897bf39","5a7b192855429927d897bf39","comparison","hard","5ac55ea55542993e66e82377;5a79118755429974737f7962;5a7380e055429908901be2d6"
"hotpot-v42::5adea8cf55429939a52fe92d","5adea8cf55429939a52fe92d","bridge","hard","5a77d31c55429967ab1052c0;5adbfffb5542994650320c39;5ae7247b5542992ae0d163c1"
"hotpot-v42::5ae1f4cb554299234fd0436d","5ae1f4cb554299234fd0436d","bridge","hard","5adf74255542992d7e9f937d;5ac18baa5542991316484b33;5ac2ffea55429921a00ab0cc"
"hotpot-v42::5a7fc6645542992e7d278d6e","5a7fc6645542992e7d278d6e","bridge","hard","5a8fae205542997ba9cb32ec;5ab2082f554299722f9b4c9f;5addda9b5542992200553b5b"
"hotpot-v42::5ae27f555542992decbdcd30","5ae27f555542992decbdcd30","bridge","hard","5a893f305542993b751ca91e;5ac4d314554299076e296e02;5a859a755542992a431d1b6d"
"hotpot-v42::5a8a2e465542996c9b8d5e32","5a8a2e465542996c9b8d5e32","bridge","hard","5addd6045542997dc7907049;5ae80919554299540e5a56f6;5ab6d9b25542995eadef00c8"
"hotpot-v42::5ab859a955429934fafe6d7b","5ab859a955429934fafe6d7b","bridge","hard","5a7cffb755429907fabef09f;5a7776b955429967ab10519e;5a7c35025542996dd594b8d7"
"hotpot-v42::5abe18e055429976d4830a74","5abe18e055429976d4830a74","bridge","hard","5ae26c795542992decbdccfb;5a8b81bc55429949d91db5b8;5a78f89055429974737f792b"
"hotpot-v42::5a7d147955429909bec76942","5a7d147955429909bec76942","bridge","hard","5ab2eff05542991669774140;5a7e86245542991319bc94ce;5a76a2b55542993569682c6c"
"hotpot-v42::5a846c005542990548d0b2b3","5a846c005542990548d0b2b3","bridge","hard","5a8492ab5542992a431d1a5b;5ab7b0575542992aa3b8c83d;5ae0e183554299422ee9953f"
"hotpot-v42::5add3aaa5542992ae4cec500","5add3aaa5542992ae4cec500","bridge","hard","5abaf3195542996cc5e49f2c;5ac3a10b5542995ef918c1c3;5a8ce55f554299441c6b9f62"
"hotpot-v42::5ab521175542996a3a96a02d","5ab521175542996a3a96a02d","bridge","hard","5a7280105542994cef4bc2e4;5ab8eabb5542991b5579f03d;5ab446875542990594ba9bea"
"hotpot-v42::5ac3a2fa5542993915413857","5ac3a2fa5542993915413857","bridge","hard","5ae765bf5542995703ce8c12;5ae7793c554299540e5a55c2;5a7ca98f55429935c91b5288"
"hotpot-v42::5a74872655429979e2882978","5a74872655429979e2882978","bridge","hard","5a72120e55429971e9dc923f;5a78d16455429974737f78bb;5a75d35d5542992d0ec05ffe"
"hotpot-v42::5a89b8f0554299669944a580","5a89b8f0554299669944a580","bridge","hard","5ac285335542996773102552;5a8a57fe55429930ff3c0da0;5a8ced46554299441c6b9f82"
"hotpot-v42::5a76648f5542992db9473795","5a76648f5542992db9473795","bridge","hard","5ade6acf554299728e26c71a;5ade99235542997c77adee7f;5a75e814554299109176e5c7"
